timestamp,username,ip,status
2026-04-01 13:00:01,alice,192.168.1.15,SUCCESS
2026-04-01 13:00:15,bob,192.168.1.16,SUCCESS
2026-04-01 13:01:01,alice,10.10.10.5,FAIL
2026-04-01 13:01:05,alice,10.10.10.5,FAIL
2026-04-01 13:01:10,alice,10.10.10.5,FAIL
2026-04-01 13:01:15,alice,10.10.10.5,FAIL
2026-04-01 13:01:20,alice,10.10.10.5,FAIL
2026-04-01 13:01:30,bob,10.10.10.5,FAIL
2026-04-01 13:01:40,admin,10.10.10.5,FAIL
2026-04-01 13:02:00,alice,10.10.10.5,FAIL
2026-04-01 13:02:20,admin,10.0.0.6,FAIL
2026-04-01 13:02:40,admin,10.0.0.7,FAIL
2026-04-01 13:03:00,admin,10.0.0.8,FAIL
2026-04-01 13:03:20,admin,10.0.0.9,FAIL
2026-04-01 13:03:40,admin,10.0.0.10,FAIL